Box_X,Box_Y,Box_Width,Box_Height,Confidence,Class_0_Probability,Class_1_Probability,Class_2_Probability,Class_3_Probability,Class_4_Probability,Class_5_Probability,Class_6_Probability,Class_7_Probability,Class_8_Probability,Class_9_Probability,Extra
5.82772,3.13366,12.4049,5.88331,7.15256e-07,6.944,5.3119,7.47787,4.64989,7.11982,5.31444,6.37509,5.78433,7.32291,5.4117,0.982902
15.9602,3.33088,14.9611,4.29003,5.66244e-07,15.159,4.768,17.554,3.97066,15.9565,4.32807,15.2065,4.55842,17.451,4.08328,0.982926
21.499,3.71562,15.8689,3.97631,1.19209e-07,21.1366,6.04434,23.3276,5.16794,21.9147,5.01058,20.9509,4.94854,23.1142,4.46256,0.982892
31.3853,3.55455,15.6324,3.57521,5.66244e-07,31.555,5.77378,33.9591,5.02043,32.695,4.96297,31.3317,4.83134,33.5942,4.43665,0.982934
38.8316,3.67388,15.7658,3.32039,5.96046e-07,39.4286,6.07882,41.526,5.37245,40.4608,5.20373,38.7278,4.87067,40.7767,4.51991,0.982926
46.7628,3.54448,15.7,3.21711,7.7486e-07,47.7112,6.07424,49.6984,5.50556,48.4374,5.29433,46.3984,4.80866,48.3441,4.55904,0.982926
54.4353,3.37422,15.7197,3.32535,1.2219e-06,55.5697,5.76569,57.4492,5.29133,56.1965,5.19861,53.9637,4.71163,55.7718,4.5319,0.9829
62.3473,3.32841,15.7107,3.27655,1.07288e-06,63.5296,5.83875,65.2345,5.29339,64.0657,5.17547,61.8529,4.66138,63.5548,4.43054,0.982903
70.3222,3.17014,15.6769,3.31918,2.17557e-06,71.2821,5.33361,72.9175,4.76972,71.8791,4.74636,69.7958,4.41514,71.4375,4.15728,0.982883
78.5525,3.12129,15.6595,3.28557,1.81794e-06,79.4762,5.36335,81.0632,4.73431,80.1213,4.68609,78.1058,4.346,79.7318,4.04004,0.982888
86.5852,3.11692,15.6208,3.296,2.17557e-06,87.2798,5.28913,88.8971,4.61593,87.9517,4.51975,86.0621,4.25759,87.7142,3.91389,0.98289
