x_center,y_center,width,height,confidence,class_prob_0,class_prob_1,class_prob_2,class_prob_3,class_prob_4,class_prob_5,class_prob_6,class_prob_7,class_prob_8,class_prob_9,extra
5.366085,3.0707574,12.050665,6.3017626,6.854534e-07,6.706274,5.219135,7.2465467,4.575467,6.874017,5.3333435,6.132968,5.8753967,7.0867214,5.510481,0.98289603
15.861751,3.1926298,15.021869,4.411909,4.7683716e-07,14.796491,4.5736485,17.191807,3.8439674,15.539923,4.2506123,14.899897,4.5349627,17.148146,4.0973673,0.9829172
20.923828,3.4594278,15.85518,4.079803,1.1920929e-07,20.531158,5.7277527,22.753866,4.9114327,21.286924,4.7289267,20.476065,4.716851,22.674683,4.256964,0.98289347
31.169659,3.2582965,15.606869,3.653194,6.2584877e-07,31.177853,5.419132,33.62744,4.7085953,32.350754,4.6009836,31.123722,4.5047474,33.44275,4.125817,0.98293567
38.465797,3.3763204,15.766303,3.4310832,6.2584877e-07,38.925545,5.724329,41.113422,5.0771813,40.053493,4.845905,38.4208,4.5651813,40.545162,4.2427626,0.9829248
46.4154,3.2330346,15.688315,3.327154,9.23872e-07,47.236874,5.7301483,49.285767,5.2289877,48.028484,4.9305634,46.074966,4.4737005,48.084747,4.2585077,0.9829246
54.076305,3.027545,15.7163105,3.4227884,1.5199184e-06,55.106445,5.365186,57.012375,4.960991,55.805664,4.789124,53.64036,4.3198185,55.481052,4.176629,0.9828968
61.96067,2.9741225,15.710618,3.380149,1.2516975e-06,63.048782,5.4675508,64.74189,4.9812903,63.66834,4.7783747,61.536346,4.280714,63.24739,4.078764,0.98290014
70.02446,2.813056,15.678258,3.4481003,2.5629997e-06,70.86163,4.9406233,72.47074,4.435788,71.54455,4.327429,69.55472,4.0202894,71.194824,3.7913446,0.9828755
78.38127,2.7615352,15.648027,3.4086065,2.115965e-06,79.14861,4.963052,80.702095,4.403184,79.87277,4.2688923,77.95934,3.9544368,79.57495,3.6845493,0.98288023
86.52774,2.7510257,15.5946,3.4225118,2.592802e-06,87.02238,4.8786345,88.618164,4.2784734,87.764015,4.0934258,85.97731,3.8579087,87.62427,3.552218,0.98288167
94.50936,2.704339,15.569995,3.3967648,2.592802e-06,94.65597,4.836328,96.24596,4.1857815,95.427,3.9777045,93.85453,3.8019896,95.49791,3.4519749,0.9828844
