Box_X,Box_Y,Box_Width,Box_Height,Confidence,Class_ID
558,267,43,55,0.898308,2
297,140,52,66,0.897554,8
300,3,55,66,0.897194,8
39,265,49,64,0.888947,9
681,379,49,69,0.887177,2
170,6,46,60,0.886519,8
44,9,48,62,0.886467,9
170,259,43,60,0.883751,7
295,391,45,63,0.883677,9
430,135,49,64,0.882515,2
166,134,51,67,0.881994,7
37,386,50,64,0.881985,9
676,15,46,61,0.88143,2
168,396,46,60,0.881364,9
555,147,42,54,0.881148,2
294,258,45,61,0.879765,7
421,258,44,58,0.879581,8
426,4,48,67,0.877721,8
423,387,46,64,0.877627,9
44,132,46,60,0.877598,7
687,262,46,58,0.875715,2
552,10,51,70,0.86443,2
549,392,49,70,0.864088,9
682,133,51,63,0.849107,2
